iter	RMSE
0	276.9515637
1	274.5804954
2	272.3323731
3	270.0766625
4	267.8637916
5	265.6332743
6	263.4424262
7	261.3053046
8	259.1309434
9	256.9596006
10	254.8295519
11	252.6759743
12	250.5628709
13	248.5703589
14	246.505763
15	244.407122
16	242.3932849
17	240.3608286
18	238.3599313
19	236.4199297
20	234.515591
21	232.5532174
22	230.6113241
23	228.6737605
24	226.8128067
25	224.9165003
26	223.0786501
27	221.2104229
28	219.4112967
29	217.6108257
30	215.8030959
31	214.0525793
32	212.3011942
33	210.5172372
34	208.7414012
35	207.0286514
36	205.3104842
37	203.5906666
38	201.8920318
39	200.2024464
40	198.5811124
41	196.9257171
42	195.3108904
43	193.726858
44	192.1454107
45	190.5863896
46	188.9973624
47	187.4427335
48	185.9130211
49	184.3673159
50	182.8638895
51	181.4128976
52	179.8981587
53	178.4337677
54	176.9364126
55	175.476238
56	174.0590339
57	172.643883
58	171.2148995
59	169.7983126
60	168.4553403
61	167.0814165
62	165.7100358
63	164.3624987
64	163.0119765
65	161.673552
66	160.366031
67	159.0459436
68	157.7704463
69	156.4343779
70	155.1459535
71	153.8929577
72	152.6171903
73	151.3504651
74	150.1038299
75	148.9165768
76	147.6752643
77	146.4692725
78	145.3090919
79	144.1171174
80	142.9301469
81	141.7889471
82	140.6084816
83	139.4938087
84	138.3624599
85	137.2350241
86	136.1441588
87	135.0585693
88	133.9857851
89	132.9086634
90	131.854876
91	130.8337922
92	129.7581102
93	128.7374782
94	127.6858494
95	126.648886
96	125.6212113
97	124.6209672
98	123.602402
99	122.6424508
100	121.6410902
101	120.6875015
102	119.7309396
103	118.7667301
104	117.8456268
105	116.875106
106	115.9700862
107	115.0379507
108	114.093501
109	113.1545908
110	112.2204044
111	111.3294675
112	110.4336079
113	109.58938
114	108.7070193
115	107.8232448
116	106.9715641
117	106.1071822
118	105.2381792
119	104.3869244
120	103.5496263
121	102.7122496
122	101.9025838
123	101.1017156
124	100.3055776
125	99.48891811
126	98.69670159
127	97.92142686
128	97.14826019
129	96.37629671
130	95.63488453
131	94.87118938
132	94.13243536
133	93.40755446
134	92.67606486
135	91.95059366
136	91.23445122
137	90.52829478
138	89.80784009
139	89.08091531
140	88.38910559
141	87.68749944
142	86.9980224
143	86.31743831
144	85.64418608
145	84.98631867
146	84.32229108
147	83.67163176
148	83.03515383
149	82.42624923
150	81.79037314
151	81.1649861
152	80.52455112
153	79.89580671
154	79.27506143
155	78.69712608
156	78.09962678
157	77.47675777
158	76.86783515
159	76.26662436
160	75.68269422
161	75.10043307
162	74.53688175
163	73.98423991
164	73.41287418
165	72.8542763
166	72.30775113
167	71.75244243
168	71.22179769
169	70.69633148
170	70.18821194
171	69.65799207
172	69.12479313
173	68.5970265
174	68.06882614
175	67.5442678
176	67.04496981
177	66.52883486
178	66.0305265
179	65.53073108
180	65.05067107
181	64.55584402
182	64.06353045
183	63.58031689
184	63.0994799
185	62.61224967
186	62.14169206
187	61.66957014
188	61.21394464
189	60.76722122
190	60.30660161
191	59.86298716
192	59.41782149
193	58.99090247
194	58.5582272
195	58.12923751
196	57.68702354
197	57.26619666
198	56.8704012
199	56.44191819
200	56.01613308
201	55.60238791
202	55.19941759
203	54.78691639
204	54.39382902
205	54.00463633
206	53.61509781
207	53.23020797
208	52.83791436
209	52.46470589
210	52.09562348
211	51.72486815
212	51.3468326
213	50.97410892
214	50.60728238
215	50.23480391
216	49.87748747
217	49.52370605
218	49.16344474
219	48.81575521
220	48.47187771
221	48.13143912
222	47.80856851
223	47.46634912
224	47.12810311
225	46.79507917
226	46.46248219
227	46.1433511
228	45.81792213
229	45.48685095
230	45.17290058
231	44.85286303
232	44.5305396
233	44.21955291
234	43.91062779
235	43.60347458
236	43.30994884
237	43.00817311
238	42.71945357
239	42.43134037
240	42.14056019
241	41.85240279
242	41.57169131
243	41.29331056
244	41.00607818
245	40.73150198
246	40.46135884
247	40.19329142
248	39.92502141
249	39.65437478
250	39.3863807
251	39.12397833
252	38.86403555
253	38.60936658
254	38.35684042
255	38.11435073
256	37.88082206
257	37.63878641
258	37.39638884
259	37.16429009
260	36.91860804
261	36.68292317
262	36.44488043
263	36.20896716
264	35.97464188
265	35.75108635
266	35.514874
267	35.28995336
268	35.05893445
269	34.82954077
270	34.60675247
271	34.3917592
272	34.17043941
273	33.95766182
274	33.75448344
275	33.56209924
276	33.36016776
277	33.15474139
278	32.95586426
279	32.75025019
280	32.55473667
281	32.35707007
282	32.17431268
283	31.9802582
284	31.79249975
285	31.59671885
286	31.41593167
287	31.22398101
288	31.05286161
289	30.86575499
290	30.68010338
291	30.4903169
292	30.32469145
293	30.15147033
294	29.9779251
295	29.81093314
296	29.64072606
297	29.47968027
298	29.31795234
299	29.1569509
300	28.98912849
301	28.82308733
302	28.65705619
303	28.49743158
304	28.33923337
305	28.1843571
306	28.03871952
307	27.89542565
308	27.72686653
309	27.58045916
310	27.43121244
311	27.29214382
312	27.13630668
313	26.99160386
314	26.85202531
315	26.70442562
316	26.55035936
317	26.39946627
318	26.26200347
319	26.11338837
320	25.97424464
321	25.84161364
322	25.70276383
323	25.55874799
324	25.42738987
325	25.29689804
326	25.17236006
327	25.05097172
328	24.91385553
329	24.76949545
330	24.64435999
331	24.52416913
332	24.40635808
333	24.28874022
334	24.17599159
335	24.04498089
336	23.9320541
337	23.80678386
338	23.69051403
339	23.57211444
340	23.46187099
341	23.35087928
342	23.23748664
343	23.1276278
344	23.02102516
345	22.91117559
346	22.80038369
347	22.69805846
348	22.60182703
349	22.48798671
350	22.37245317
351	22.25540822
352	22.13837388
353	22.03331281
354	21.93555233
355	21.8220177
356	21.71147401
357	21.60486405
358	21.51456342
359	21.4236726
360	21.33433516
361	21.24688858
362	21.14657956
363	21.05123247
364	20.95788989
365	20.87412865
366	20.77513966
367	20.69444581
368	20.59655893
369	20.50232885
370	20.4055779
371	20.32616017
372	20.23234343
373	20.14923015
374	20.05626549
375	19.97557648
376	19.89036133
377	19.81662181
378	19.7466095
379	19.66982628
380	19.57940278
381	19.49103628
382	19.40483959
383	19.33385935
384	19.24796295
385	19.17190169
386	19.09989914
387	19.02474504
388	18.94615821
389	18.86436695
390	18.78677809
391	18.71610585
392	18.6455158
393	18.58666598
394	18.51576768
395	18.44926666
396	18.37604557
397	18.30686488
398	18.24095959
399	18.17000223
400	18.10182529
401	18.03574783
402	17.97391449
403	17.90968781
404	17.84853397
405	17.780101
406	17.71228092
407	17.65704039
408	17.59748357
409	17.54156487
410	17.48367008
411	17.43001143
412	17.37019013
413	17.31908335
414	17.26157007
415	17.20947761
416	17.15599935
417	17.09507778
418	17.0463682
419	16.99411522
420	16.93628035
421	16.87845775
422	16.82542836
423	16.77871197
424	16.72766947
425	16.68186496
426	16.63303469
427	16.58042536
428	16.5335039
429	16.47883041
430	16.42873058
431	16.37328415
432	16.31715629
433	16.27295817
434	16.22248844
435	16.18036323
436	16.13038701
437	16.07406705
438	16.0314942
439	15.98880045
440	15.94257574
441	15.89720787
442	15.85184491
443	15.80756634
444	15.76223882
445	15.7197767
446	15.68127473
447	15.6320438
448	15.58431014
449	15.54506678
450	15.50498259
451	15.46668392
452	15.44011332
453	15.39981339
454	15.35498733
455	15.3160801
456	15.27734301
457	15.24065126
458	15.21133509
459	15.17089776
460	15.12979595
461	15.09004917
462	15.04726294
463	15.01112293
464	14.97681945
465	14.94130879
466	14.90476224
467	14.8689725
468	14.83354001
469	14.79919634
470	14.77099726
471	14.7373429
472	14.70101887
473	14.67273738
474	14.64440921
475	14.61228746
476	14.58246681
477	14.55153008
478	14.5195234
479	14.48926262
480	14.46377573
481	14.43492964
482	14.40968176
483	14.38518102
484	14.35811966
485	14.328618
486	14.29374742
487	14.2618317
488	14.23269746
489	14.20480465
490	14.17301378
491	14.14822219
492	14.12255287
493	14.09643921
494	14.06633748
495	14.0416373
496	14.02035278
497	13.99620706
498	13.97230015
499	13.94897774
500	13.92626373
501	13.90322547
502	13.87697438
503	13.85360914
504	13.82997814
505	13.80795333
506	13.78398935
507	13.76176338
508	13.74068361
509	13.71865671
510	13.6968971
511	13.67230212
512	13.65032662
513	13.62501339
514	13.59607268
515	13.57364432
516	13.5570592
517	13.53293428
518	13.514724
519	13.4914946
520	13.46947221
521	13.44718996
522	13.42988856
523	13.41086508
524	13.38802018
525	13.37916303
526	13.36059807
527	13.34087881
528	13.32012508
529	13.3001879
530	13.279215
531	13.25973661
532	13.23822485
533	13.21774964
534	13.19977251
535	13.18471113
536	13.16810922
537	13.14900489
538	13.12585774
539	13.10482738
540	13.08522855
541	13.06276932
542	13.04474497
543	13.02968161
544	13.01104238
545	12.99972045
546	12.98266202
547	12.96768357
548	12.95099983
549	12.9305988
550	12.91536309
551	12.89760115
552	12.87904069
553	12.8631565
554	12.84682704
555	12.83147111
556	12.8155024
557	12.80131072
558	12.78313613
559	12.77035303
560	12.75669602
561	12.74394831
562	12.73387915
563	12.71915179
564	12.70710244
565	12.69550414
566	12.67854591
567	12.66381023
568	12.6504526
569	12.63617357
570	12.62984541
571	12.61790861
572	12.60095292
573	12.58602524
574	12.5742023
575	12.56208575
576	12.5453041
577	12.5350607
578	12.52102523
579	12.50397907
580	12.49187346
581	12.47903155
582	12.46668905
583	12.4514036
584	12.44486993
585	12.43131138
586	12.41935826
587	12.40575751
588	12.39754863
589	12.38572926
590	12.37263805
591	12.36038556
592	12.35028846
593	12.33878909
594	12.32730836
595	12.31421066
596	12.30280078
597	12.29315655
598	12.27748059
599	12.26395519
600	12.25505512
601	12.24413877
602	12.23394927
603	12.22446452
604	12.21363254
605	12.20119375
606	12.18754214
607	12.17684057
608	12.16526967
609	12.15386714
610	12.143636
611	12.13541371
612	12.12570588
613	12.11751408
614	12.11209484
615	12.10100567
616	12.09130259
617	12.08069886
618	12.06502329
619	12.05562804
620	12.04775216
621	12.03531688
622	12.02521829
623	12.01344666
624	12.00309973
625	11.99193478
626	11.97683264
627	11.96454757
628	11.95630267
629	11.94575829
630	11.93655597
631	11.92537083
632	11.91570446
633	11.90868169
634	11.89919052
635	11.88999803
636	11.8797183
637	11.87190464
638	11.86327677
639	11.85472138
640	11.84489434
641	11.83226428
642	11.8200893
643	11.81106275
644	11.79983422
645	11.79280448
646	11.78333612
647	11.77518671
648	11.76545207
649	11.75788426
650	11.75011358
651	11.74173787
652	11.73216211
653	11.72552624
654	11.71950302
655	11.70920961
656	11.70119271
657	11.69367876
658	11.68538436
659	11.67590139
660	11.66432011
661	11.65381945
662	11.64748291
663	11.63636791
664	11.62500379
665	11.61545707
666	11.6068326
667	11.60093178
668	11.59706379
669	11.58945028
670	11.58131766
671	11.57370796
672	11.56336881
673	11.55726321
674	11.550593
675	11.54107616
676	11.53268841
677	11.52278249
678	11.51655834
679	11.5070532
680	11.50044615
681	11.48998018
682	11.48392165
683	11.47897654
684	11.46930784
685	11.46066078
686	11.4521795
687	11.44604782
688	11.4364595
689	11.42499492
690	11.41767923
691	11.4117639
692	11.40519524
693	11.39649413
694	11.38871997
695	11.3784596
696	11.37011704
697	11.36160453
698	11.35553775
699	11.3514506
700	11.34422037
701	11.33631188
702	11.33065378
703	11.32619015
704	11.3152185
705	11.31122138
706	11.30402299
707	11.29346662
708	11.28535133
709	11.278404
710	11.27169507
711	11.26576564
712	11.26043972
713	11.25032217
714	11.24209313
715	11.2387398
716	11.23359882
717	11.22584366
718	11.218547
719	11.21372697
720	11.20608824
721	11.20105334
722	11.19423744
723	11.18758274
724	11.18227672
725	11.1758219
726	11.16789063
727	11.16171355
728	11.15573332
729	11.14908372
730	11.14328785
731	11.1376703
732	11.13162505
733	11.12478889
734	11.11851052
735	11.11312134
736	11.10694259
737	11.09916606
738	11.09478792
739	11.08732235
740	11.08069802
741	11.0759112
742	11.06739861
743	11.06209578
744	11.05394961
745	11.04631688
746	11.04067317
747	11.03533951
748	11.02715036
749	11.02177089
750	11.01638763
751	11.01072251
752	11.00666196
753	11.00095374
754	10.991806
755	10.98632525
756	10.97743934
757	10.97177665
758	10.96708415
759	10.95773874
760	10.94982454
761	10.94503523
762	10.93796699
763	10.93081958
764	10.92243874
765	10.91546335
766	10.90810745
767	10.90247054
768	10.89603329
769	10.89026401
770	10.88490858
771	10.87810514
772	10.87248648
773	10.86464512
774	10.85829897
775	10.85204022
776	10.847722
777	10.84173705
778	10.83554494
779	10.82988054
780	10.82390435
781	10.81638357
782	10.81022247
783	10.80408635
784	10.80038242
785	10.79424528
786	10.78845282
787	10.78025917
788	10.77314769
789	10.76695213
790	10.76173722
791	10.75919626
792	10.75681228
793	10.75020292
794	10.74301876
795	10.73805851
796	10.73457044
797	10.72963159
798	10.72563964
799	10.71994856
800	10.71628537
801	10.70985173
802	10.70491115
803	10.69816869
804	10.6927637
805	10.68421677
806	10.67924982
807	10.67691054
808	10.67222952
809	10.66583835
810	10.66296375
811	10.65715337
812	10.65156171
813	10.64647859
814	10.63936363
815	10.63445022
816	10.62740436
817	10.62213381
818	10.61548679
819	10.61037984
820	10.6070569
821	10.60213999
822	10.59752349
823	10.59237922
824	10.58707684
825	10.57984593
826	10.57412942
827	10.57212805
828	10.56543171
829	10.56067134
830	10.55268535
831	10.54895423
832	10.54343693
833	10.53827971
834	10.53330884
835	10.52714475
836	10.5230272
837	10.51687147
838	10.51182336
839	10.50626072
840	10.50381153
841	10.50002566
842	10.49709386
843	10.489999
844	10.48477557
845	10.48218756
846	10.47947895
847	10.47287637
848	10.46815414
849	10.46249628
850	10.45583219
851	10.44906002
852	10.44386027
853	10.43923747
854	10.43605632
855	10.43042924
856	10.42473599
857	10.42030766
858	10.41689351
859	10.41268783
860	10.40680947
861	10.40178071
862	10.39612073
863	10.3936642
864	10.38766088
865	10.38180048
866	10.375559
867	10.37139177
868	10.36702949
869	10.36283414
870	10.35813515
871	10.35281051
872	10.35023121
873	10.34796073
874	10.34332478
875	10.33794447
876	10.3327765
877	10.32905956
878	10.32196087
879	10.31818061
880	10.31335044
881	10.30809362
882	10.30184955
883	10.29889089
884	10.29413774
885	10.2887972
886	10.28462507
887	10.2813307
888	10.27777801
889	10.27249644
890	10.26795183
891	10.26376113
892	10.25999682
893	10.25644221
894	10.25113282
895	10.24912847
896	10.24512841
897	10.24187239
898	10.23579741
899	10.23056565
900	10.22618472
901	10.22277823
902	10.21978039
903	10.21583181
904	10.20977767
905	10.20508117
906	10.20260975
907	10.19832065
908	10.19420471
909	10.19005761
910	10.18394738
911	10.18002939
912	10.17612361
913	10.17230085
914	10.16761011
915	10.16132782
916	10.15703891
917	10.15275781
918	10.1484885
919	10.14474257
920	10.13894166
921	10.1367131
922	10.13335806
923	10.12939069
924	10.12745157
925	10.12170429
926	10.11663442
927	10.10916677
928	10.10587659
929	10.10216032
930	10.09848072
931	10.09292154
932	10.09092532
933	10.08723419
934	10.08523275
935	10.08262631
936	10.07714907
937	10.07405756
938	10.07127068
939	10.0682049
940	10.06471467
941	10.06269007
942	10.05942623
943	10.05645557
944	10.0528341
945	10.04677024
946	10.0400625
947	10.03522691
948	10.03226802
949	10.02786475
950	10.02478332
951	10.02034842
952	10.01658922
953	10.01262582
954	10.00729842
955	10.00302566
956	9.997008218
957	9.994135075
958	9.988643995
959	9.985184597
960	9.983544796
961	9.979530312
962	9.97377802
963	9.971405464
964	9.969715519
965	9.965900732
966	9.962684756
967	9.960362628
968	9.95792681
969	9.955493865
970	9.949669023
971	9.944903567
972	9.940764705
973	9.93619232
974	9.932071443
975	9.927032906
976	9.923301618
977	9.916490389
978	9.912509418
979	9.910872704
980	9.906109242
981	9.903024718
982	9.900178722
983	9.89823115
984	9.894034004
985	9.888234276
986	9.887119035
987	9.884470084
988	9.880979162
989	9.875535075
990	9.871553617
991	9.867148563
992	9.862188319
993	9.85924074
994	9.857225311
995	9.852691707
996	9.849945432
997	9.84606713
998	9.843818528
999	9.839239544
1000	9.835026405
1001	9.831916997
1002	9.830013156
1003	9.826078764
1004	9.822088071
1005	9.818186063
1006	9.815358877
1007	9.811688324
1008	9.807168839
1009	9.801716639
1010	9.799816064
1011	9.794779697
1012	9.790218953
1013	9.786624372
1014	9.784026819
1015	9.781243435
1016	9.776870644
1017	9.773891318
1018	9.769520925
1019	9.767184625
1020	9.762938215
1021	9.758832563
1022	9.75573559
1023	9.751639554
1024	9.747267826
1025	9.745387979
1026	9.743545223
1027	9.741254826
1028	9.738894476
1029	9.736080518
1030	9.730884568
1031	9.727785254
1032	9.723785421
1033	9.719134601
1034	9.715437575
1035	9.713939437
1036	9.710354608
1037	9.70689118
1038	9.70275887
1039	9.698201509
1040	9.695696556
1041	9.692464227
1042	9.687576247
1043	9.684625566
1044	9.681994289
1045	9.676811125
1046	9.671000131
1047	9.667409182
1048	9.664056416
1049	9.65973866
1050	9.655154134
1051	9.649574768
1052	9.648315468
1053	9.645862441
1054	9.639383685
1055	9.635217226
1056	9.631070569
1057	9.62909645
1058	9.624343778
1059	9.620536874
1060	9.617128438
1061	9.615395804
1062	9.612504643
1063	9.609918601
1064	9.607487878
1065	9.605824405
1066	9.602594308
1067	9.60092792
1068	9.597621442
1069	9.593367397
1070	9.587831093
1071	9.584683055
1072	9.583075141
1073	9.580368074
1074	9.573673421
1075	9.570283249
1076	9.563834312
1077	9.560171481
1078	9.555064875
1079	9.553294835
1080	9.548838902
1081	9.546165828
1082	9.54282172
1083	9.538807467
1084	9.534926534
1085	9.532326837
1086	9.526472447
1087	9.520943341
1088	9.518672758
1089	9.513096845
1090	9.510914134
1091	9.505522235
1092	9.503014295
1093	9.502295064
1094	9.498873223
1095	9.494779376
1096	9.490854883
1097	9.487163305
1098	9.484491552
1099	9.481088647
1100	9.479194539
1101	9.477612625
1102	9.472609988
1103	9.47048799
1104	9.468991337
1105	9.463398095
1106	9.458004913
1107	9.454571334
1108	9.451465305
1109	9.448064518
1110	9.446308019
1111	9.440611121
1112	9.437350509
1113	9.431888696
1114	9.428283873
1115	9.425950774
1116	9.424290241
1117	9.422265864
1118	9.419123136
1119	9.416457799
1120	9.413989462
1121	9.410460591
1122	9.40929482
1123	9.404392947
1124	9.399003234
1125	9.395038491
1126	9.393695918
1127	9.388608303
1128	9.382684685
1129	9.381049209
1130	9.379925626
1131	9.37638965
1132	9.371246466
1133	9.369865149
1134	9.366620338
1135	9.362366877
1136	9.357045548
1137	9.35445683
1138	9.351288326
1139	9.349963884
1140	9.34682182
1141	9.345701838
1142	9.341691055
1143	9.337518161
1144	9.332355601
1145	9.329289734
1146	9.325644366
1147	9.321452716
1148	9.318358731
1149	9.315098537
1150	9.312764447
1151	9.308002452
1152	9.303925018
1153	9.302259372
1154	9.297842937
1155	9.295899983
1156	9.291833613
1157	9.289535552
1158	9.286202536
1159	9.285025342
1160	9.281828659
1161	9.280343603
1162	9.277133991
1163	9.273606381
1164	9.270813433
1165	9.267709735
1166	9.26664166
1167	9.264224265
1168	9.260529319
1169	9.257403755
1170	9.25554129
1171	9.250963208
1172	9.248169403
1173	9.24363913
1174	9.238960284
1175	9.235853673
1176	9.233373245
1177	9.228459796
1178	9.226797616
1179	9.225295372
1180	9.220516911
1181	9.217038398
1182	9.214030165
1183	9.211277531
1184	9.209719015
1185	9.205104787
1186	9.202298312
1187	9.199391127
1188	9.196231447
1189	9.193271109
1190	9.190781822
1191	9.188410022
1192	9.183662947
1193	9.181145533
1194	9.178494157
1195	9.177601567
1196	9.176602024
1197	9.172350467
1198	9.170021562
1199	9.168530117
1200	9.16688887
1201	9.164022766
1202	9.162910443
1203	9.161785298
1204	9.160625307
1205	9.158925589
1206	9.157367559
1207	9.152085817
1208	9.14968848
1209	9.147165435
1210	9.143867538
1211	9.141268608
1212	9.136947169
1213	9.133469221
1214	9.130690126
1215	9.128651354
1216	9.127378474
1217	9.124435912
1218	9.1225054
1219	9.119596717
1220	9.118679269
1221	9.114826129
1222	9.111555783
1223	9.110993943
1224	9.109130767
1225	9.106422261
1226	9.104911784
1227	9.104370087
1228	9.100420947
1229	9.096548352
1230	9.093103801
1231	9.08885863
1232	9.085798675
1233	9.081438891
1234	9.07676426
1235	9.072857581
1236	9.069617176
1237	9.064636731
1238	9.06401209
1239	9.059889237
1240	9.058567593
1241	9.054838861
1242	9.05180205
1243	9.051100603
1244	9.049011011
1245	9.045892438
1246	9.045014477
1247	9.041451149
1248	9.036949479
1249	9.035855526
1250	9.031634719
1251	9.027391132
1252	9.02268192
1253	9.02161899
1254	9.018863766
1255	9.015658208
1256	9.011716461
1257	9.008065933
1258	9.005987357
1259	9.005426542
1260	9.002203159
1261	9.001183513
1262	8.999603078
1263	8.99651152
1264	8.99452779
1265	8.991676428
1266	8.988680227
1267	8.986684022
1268	8.983903171
1269	8.981371584
1270	8.979058573
1271	8.976475806
1272	8.975374773
1273	8.971057633
1274	8.967902379
1275	8.963979077
1276	8.960351383
1277	8.959440632
1278	8.958226036
1279	8.95711204
1280	8.954665457
1281	8.953371675
1282	8.950379335
1283	8.947105291
1284	8.944832257
1285	8.939690751
1286	8.937907172
1287	8.934633349
1288	8.931991167
1289	8.926754706
1290	8.922993764
1291	8.918295431
1292	8.914204806
1293	8.91192793
1294	8.908569826
1295	8.905910695
1296	8.905026382
1297	8.902570233
1298	8.901354703
1299	8.899144966
1300	8.898186111
1301	8.896418091
1302	8.894025617
1303	8.890424143
1304	8.887035678
1305	8.88459511
1306	8.881645391
1307	8.880690132
1308	8.878072351
1309	8.873848373
1310	8.871517934
1311	8.869721984
1312	8.866872389
1313	8.865201686
1314	8.863169533
1315	8.860913322
1316	8.85851943
1317	8.853659496
1318	8.853031864
1319	8.851379092
1320	8.847239378
1321	8.845139961
1322	8.844351832
1323	8.841318823
1324	8.836592045
1325	8.834016302
1326	8.830856663
1327	8.828475145
1328	8.824219234
1329	8.823110853
1330	8.822526169
1331	8.822050388
1332	8.820655723
1333	8.817759991
1334	8.815191018
1335	8.813741314
1336	8.811263585
1337	8.807938715
1338	8.805382563
1339	8.803738916
1340	8.79994692
1341	8.796704174
1342	8.794129515
1343	8.789044611
1344	8.787547483
1345	8.782974243
1346	8.779714032
1347	8.77633673
1348	8.775444316
1349	8.77169157
1350	8.76857038
1351	8.765769866
1352	8.761006827
1353	8.757230595
1354	8.754357721
1355	8.749728607
1356	8.748700181
1357	8.746631897
1358	8.743142709
1359	8.74003701
1360	8.736906361
1361	8.733583593
1362	8.730206721
1363	8.727625494
1364	8.725407556
1365	8.722315142
1366	8.71995168
1367	8.716639085
1368	8.715725569
1369	8.712617829
1370	8.709001648
1371	8.706504459
1372	8.703282533
1373	8.698442538
1374	8.695681787
1375	8.694738899
1376	8.691750022
1377	8.688991594
1378	8.68811266
1379	8.685648761
1380	8.683583528
1381	8.68066811
1382	8.678434813
1383	8.677030808
1384	8.674514473
1385	8.672903057
1386	8.670155999
1387	8.667365604
1388	8.666222644
1389	8.663487146
1390	8.66087614
1391	8.659196359
1392	8.657007527
1393	8.655275744
1394	8.654083289
1395	8.650920315
1396	8.647436749
1397	8.646091364
1398	8.643738997
1399	8.639851845
1400	8.639140571
1401	8.635937256
1402	8.634071671
1403	8.633207565
1404	8.630319696
1405	8.62621272
1406	8.625719515
1407	8.620874065
1408	8.617681962
1409	8.6146082
1410	8.613202766
1411	8.610377022
1412	8.608300575
1413	8.60521788
1414	8.602025774
1415	8.598723887
1416	8.595868262
1417	8.593026621
1418	8.590103797
1419	8.587818268
1420	8.585705277
1421	8.582632987
1422	8.579988356
1423	8.576852887
1424	8.574970631
1425	8.572938631
1426	8.571042884
1427	8.569496979
1428	8.567982877
1429	8.56622733
1430	8.565698919
1431	8.564232687
1432	8.561392234
1433	8.559821001
1434	8.555745071
1435	8.554399102
1436	8.552396387
1437	8.550628718
1438	8.549693133
1439	8.548222067
1440	8.545534284
1441	8.54178086
1442	8.540316857
1443	8.536352994
1444	8.533431226
1445	8.532751068
1446	8.530182736
1447	8.528263018
1448	8.525467513
1449	8.52193745
1450	8.518593343
1451	8.516128074
1452	8.513304983
1453	8.511351931
1454	8.509836541
1455	8.508802492
1456	8.505981307
1457	8.505050992
1458	8.503187364
1459	8.501072493
1460	8.497737348
1461	8.495711988
1462	8.494005331
1463	8.493428605
