iter	Passed	Remaining
0	55	1399294
1	57	718470
2	58	491115
3	60	377767
4	61	308595
5	63	262495
6	64	228994
7	65	204459
8	66	185093
9	67	169676
10	68	156628
11	70	145785
12	71	136509
13	72	128669
14	73	122155
15	74	116255
16	75	111078
17	76	106290
18	77	102033
19	78	98309
20	79	94914
21	80	91705
22	81	88975
23	83	86475
24	84	84074
25	85	81813
26	86	79767
27	87	77789
28	88	75976
29	89	74227
30	90	72663
31	91	71242
32	92	69813
33	93	68493
34	94	67296
35	95	66095
36	96	65017
37	97	63936
38	98	63010
39	99	62220
40	101	61499
41	102	60668
42	103	59891
43	104	59169
44	105	58534
45	106	57942
46	107	57306
47	109	56665
48	110	56099
49	111	55554
50	112	55047
51	113	54544
52	114	54094
53	116	53730
54	117	53265
55	118	52798
56	119	52347
57	120	51906
58	121	51435
59	122	50975
60	123	50548
61	124	50181
62	125	49781
63	126	49393
64	127	49083
65	129	48785
66	130	48417
67	131	48155
68	132	47886
69	133	47594
70	134	47367
71	136	47098
72	137	46845
73	138	46556
74	139	46309
75	140	46054
76	141	45803
77	142	45554
78	143	45298
79	144	45096
80	145	44877
81	146	44635
82	147	44419
83	148	44195
84	150	43990
85	151	43823
86	152	43608
87	153	43396
88	154	43204
89	155	42996
90	156	42798
91	157	42610
92	158	42427
93	159	42245
94	160	42070
95	161	41900
96	162	41735
97	163	41550
98	164	41375
99	165	41233
100	166	41102
101	167	40966
102	168	40821
103	169	40691
104	171	40565
105	172	40414
106	173	40249
107	174	40116
108	175	39970
109	176	39909
110	177	39814
111	178	39769
112	180	39704
113	181	39630
114	182	39557
115	184	39503
116	185	39449
117	186	39388
118	188	39383
119	189	39356
120	191	39320
121	192	39305
122	194	39242
123	195	39224
124	196	39186
125	198	39101
126	199	39031
127	200	38926
128	201	38865
129	202	38780
130	203	38651
131	204	38546
132	205	38467
133	206	38361
134	207	38290
135	209	38213
136	210	38177
137	211	38124
138	213	38103
139	214	38029
140	215	37955
141	216	37878
142	217	37824
143	218	37759
144	219	37685
145	220	37612
146	222	37547
147	223	37449
148	224	37371
149	225	37295
150	226	37205
151	227	37134
152	228	37061
153	229	36990
154	230	36933
155	231	36863
156	232	36772
157	233	36688
158	234	36599
159	235	36520
160	236	36438
161	237	36365
162	238	36290
163	239	36235
164	240	36197
165	241	36178
166	242	36131
167	244	36092
168	245	36024
169	246	35983
170	247	35960
171	248	35894
172	249	35827
173	250	35779
174	251	35716
175	252	35665
176	253	35615
177	254	35553
178	256	35510
179	257	35463
180	258	35404
181	259	35355
182	260	35295
183	261	35249
184	262	35196
185	263	35142
186	264	35082
187	265	35033
188	266	34970
189	267	34909
190	268	34855
191	269	34798
192	270	34738
193	271	34679
194	272	34642
195	273	34587
196	274	34550
197	275	34504
198	276	34458
199	277	34403
200	278	34348
201	279	34341
202	281	34330
203	282	34313
204	283	34307
205	284	34277
206	286	34262
207	287	34209
208	288	34164
209	289	34129
210	290	34093
211	291	34042
212	292	34020
213	293	34010
214	294	34006
215	296	33996
216	298	34076
217	300	34133
218	301	34123
219	302	34106
220	303	34071
221	305	34110
222	306	34083
223	307	34050
224	308	34022
225	310	33999
226	311	33990
227	313	34014
228	314	33977
229	315	33950
230	316	33935
231	317	33896
232	318	33853
233	320	33876
234	321	33862
235	322	33831
236	323	33793
237	324	33761
238	325	33724
239	326	33713
240	328	33728
241	329	33698
242	330	33661
243	331	33627
244	332	33596
245	333	33575
246	335	33671
247	337	33652
248	338	33642
249	339	33636
250	341	33644
251	342	33678
252	344	33654
253	345	33630
254	346	33604
255	347	33579
256	348	33554
257	349	33552
258	351	33598
259	353	33630
